intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,File_Extension,block
100,6,1,1,1,1,0,1,29,a,a,m,4,am4,_happy,1
100,12,1,1,1,1,0,2,26,b,a,m,3,am3,_sad,1
100,6,1,1,1,1,0,3,15,c,a,f,4,af4,_mad,1
100,6,1,1,1,1,0,4,27,c,a,m,3,am3,_mad,1
100,12,1,1,1,1,0,5,16,d,a,f,4,af4,_scared,1
100,12,1,1,1,1,0,6,12,d,a,f,3,af3,_scared,1
100,6,1,1,1,1,0,7,1,a,a,f,1,af1,_happy,1
100,6,1,1,1,1,0,8,23,c,a,m,2,am2,_mad,1
100,6,1,1,1,1,0,9,30,b,a,m,4,am4,_sad,1
100,12,1,1,1,1,0,10,6,b,a,f,2,af2,_sad,1
100,6,1,1,1,1,0,11,28,d,a,m,3,am3,_scared,1
100,6,1,1,1,1,0,12,9,a,a,f,3,af3,_happy,1
100,12,1,1,1,1,0,13,11,c,a,f,3,af3,_mad,1
100,6,1,1,1,1,0,14,19,c,a,m,1,am1,_mad,1
100,12,1,1,1,1,0,15,25,a,a,m,3,am3,_happy,1
100,6,1,1,1,1,0,16,24,d,a,m,2,am2,_scared,1
100,12,1,1,1,1,0,17,2,b,a,f,1,af1,_sad,1
100,6,1,1,1,1,0,18,4,d,a,f,1,af1,_scared,1
100,12,1,1,1,1,0,19,8,d,a,f,2,af2,_scared,1
100,6,1,1,1,1,0,20,22,b,a,m,2,am2,_sad,1
100,6,1,1,1,1,0,21,31,c,a,m,4,am4,_mad,1
100,6,1,1,1,1,0,22,17,a,a,m,1,am1,_happy,1
100,12,1,1,1,1,0,23,32,d,a,m,4,am4,_scared,1
100,12,1,1,1,1,0,24,21,a,a,m,2,am2,_happy,1
100,12,1,1,1,1,0,25,18,b,a,m,1,am1,_sad,1
100,12,1,1,1,1,0,26,20,d,a,m,1,am1,_scared,1
100,12,1,1,1,1,0,27,3,c,a,f,1,af1,_mad,1
100,12,1,1,1,1,0,28,10,b,a,f,3,af3,_sad,1
100,6,1,1,1,1,0,29,7,c,a,f,2,af2,_mad,1
100,12,1,1,1,1,0,30,13,a,a,f,4,af4,_happy,1
100,6,1,1,1,1,0,31,5,a,a,f,2,af2,_happy,1
100,12,1,1,1,1,0,32,14,b,a,f,4,af4,_sad,1
100,6,1,1,1,1,0,33,50,b,a,m,1,am1,_sad,2
100,12,1,1,1,1,0,34,41,a,a,f,3,af3,_happy,2
100,6,1,1,1,1,0,35,35,c,a,f,1,af1,_mad,2
100,12,1,1,1,1,0,36,53,a,a,m,2,am2,_happy,2
100,6,1,1,1,1,0,37,61,a,a,m,4,am4,_happy,2
100,6,1,1,1,1,0,38,45,a,a,f,4,af4,_happy,2
100,12,1,1,1,1,0,39,48,d,a,f,4,af4,_scared,2
100,12,1,1,1,1,0,40,55,c,a,m,2,am2,_mad,2
100,6,1,1,1,1,0,41,36,d,a,f,1,af1,_scared,2
100,6,1,1,1,1,0,42,47,c,a,f,4,af4,_mad,2
100,6,1,1,1,1,0,43,64,d,a,m,4,am4,_scared,2
100,6,1,1,1,1,0,44,49,a,a,m,1,am1,_happy,2
100,6,1,1,1,1,0,45,56,d,a,m,2,am2,_scared,2
100,12,1,1,1,1,0,46,40,d,a,f,2,af2,_scared,2
100,12,1,1,1,1,0,47,52,d,a,m,1,am1,_scared,2
100,12,1,1,1,1,0,48,46,b,a,f,4,af4,_sad,2
100,12,1,1,1,1,0,49,37,a,a,f,2,af2,_happy,2
100,12,1,1,1,1,0,50,63,c,a,m,4,am4,_mad,2
100,6,1,1,1,1,0,51,51,c,a,m,1,am1,_mad,2
100,6,1,1,1,1,0,52,58,b,a,m,3,am3,_sad,2
100,12,1,1,1,1,0,53,34,b,a,f,1,af1,_sad,2
100,12,1,1,1,1,0,54,62,b,a,m,4,am4,_sad,2
100,6,1,1,1,1,0,55,44,d,a,f,3,af3,_scared,2
100,12,1,1,1,1,0,56,59,c,a,m,3,am3,_mad,2
100,12,1,1,1,1,0,57,60,d,a,m,3,am3,_scared,2
100,12,1,1,1,1,0,58,54,b,a,m,2,am2,_sad,2
100,6,1,1,1,1,0,59,39,c,a,f,2,af2,_mad,2
100,12,1,1,1,1,0,60,57,a,a,m,3,am3,_happy,2
100,6,1,1,1,1,0,61,38,b,a,f,2,af2,_sad,2
100,6,1,1,1,1,0,62,43,c,a,f,3,af3,_mad,2
100,6,1,1,1,1,0,63,42,b,a,f,3,af3,_sad,2
100,12,1,1,1,1,0,64,33,a,a,f,1,af1,_happy,2
100,12,1,1,1,1,0,65,86,b,a,m,2,am2,_sad,3
100,12,1,1,1,1,0,66,79,c,a,f,4,af4,_mad,3
100,6,1,1,1,1,0,67,88,d,a,m,2,am2,_scared,3
100,6,1,1,1,1,0,68,72,d,a,f,2,af2,_scared,3
100,12,1,1,1,1,0,69,71,c,a,f,2,af2,_mad,3
100,12,1,1,1,1,0,70,87,c,a,m,2,am2,_mad,3
100,12,1,1,1,1,0,71,89,a,a,m,3,am3,_happy,3
100,6,1,1,1,1,0,72,74,b,a,f,3,af3,_sad,3
100,6,1,1,1,1,0,73,83,c,a,m,1,am1,_mad,3
100,12,1,1,1,1,0,74,65,a,a,f,1,af1,_happy,3
100,6,1,1,1,1,0,75,85,a,a,m,2,am2,_happy,3
100,6,1,1,1,1,0,76,94,b,a,m,4,am4,_sad,3
100,6,1,1,1,1,0,77,77,a,a,f,4,af4,_happy,3
100,6,1,1,1,1,0,78,80,d,a,f,4,af4,_scared,3
100,12,1,1,1,1,0,79,67,c,a,f,1,af1,_mad,3
100,6,1,1,1,1,0,80,96,d,a,m,4,am4,_scared,3
100,12,1,1,1,1,0,81,82,b,a,m,1,am1,_sad,3
100,12,1,1,1,1,0,82,90,b,a,m,3,am3,_sad,3
100,12,1,1,1,1,0,83,76,d,a,f,3,af3,_scared,3
100,12,1,1,1,1,0,84,69,a,a,f,2,af2,_happy,3
100,6,1,1,1,1,0,85,78,b,a,f,4,af4,_sad,3
100,6,1,1,1,1,0,86,92,d,a,m,3,am3,_scared,3
100,6,1,1,1,1,0,87,66,b,a,f,1,af1,_sad,3
100,6,1,1,1,1,0,88,95,c,a,m,4,am4,_mad,3
100,12,1,1,1,1,0,89,70,b,a,f,2,af2,_sad,3
100,12,1,1,1,1,0,90,91,c,a,m,3,am3,_mad,3
100,12,1,1,1,1,0,91,93,a,a,m,4,am4,_happy,3
100,6,1,1,1,1,0,92,73,a,a,f,3,af3,_happy,3
100,12,1,1,1,1,0,93,68,d,a,f,1,af1,_scared,3
100,12,1,1,1,1,0,94,75,c,a,f,3,af3,_mad,3
100,6,1,1,1,1,0,95,81,a,a,m,1,am1,_happy,3
100,6,1,1,1,1,0,96,84,d,a,m,1,am1,_scared,3
