intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,File_Extension
100,6,1,1,1,1,0,1,29,a,a,m,4,am4,_happy
100,12,1,1,1,1,0,2,26,b,a,m,3,am3,_sad
100,18,1,1,1,1,0,3,15,c,a,f,4,af4,_mad
100,3,1,1,1,1,0,4,27,c,a,m,3,am3,_mad
100,2,1,1,1,1,0,5,16,d,a,f,4,af4,_scared
100,1,1,1,1,1,0,6,12,d,a,f,3,af3,_scared
100,0.5,1,1,1,1,0,7,1,a,a,f,1,af1,_happy
100,0.25,1,1,1,1,0,8,23,c,a,m,2,am2,_mad
100,6,1,1,1,1,0,9,30,b,a,m,4,am4,_sad
100,6,1,1,1,1,0,10,6,b,a,f,2,af2,_sad
100,6,1,1,1,1,0,11,28,d,a,m,3,am3,_scared
100,6,1,1,1,1,0,12,9,a,a,f,3,af3,_happy
100,6,1,1,1,1,0,13,11,c,a,f,3,af3,_mad
100,6,1,1,1,1,0,14,19,c,a,m,1,am1,_mad
100,6,1,1,1,1,0,15,25,a,a,m,3,am3,_happy
