"intensity","duration","a","b","c","d","attempts","randomized","natural","condition","Incorrect","Comparison","Adult","Gender","exemplar","File_Extension"
100,6,1,1,0,0,1,1,"HSa03","a","b","Happy - Sad","a","f","af3","_happy"
100,6,1,1,0,0,1,2,"HSa04","a","b","Happy - Sad","a","f","af4","_happy"
100,6,1,1,0,0,1,3,"HSa11","b","a","Happy - Sad","a","f","af3","_sad"
100,6,1,1,0,0,1,4,"HSa15","b","a","Happy - Sad","a","m","am3","_sad"
100,6,1,1,0,0,1,5,"HSa01","a","b","Happy - Sad","a","f","af1","_happy"
100,6,1,1,0,0,1,6,"HSa13","b","a","Happy - Sad","a","m","am1","_sad"
100,6,1,1,0,0,1,7,"HSa12","b","a","Happy - Sad","a","f","af4","_sad"
100,6,1,1,0,0,1,8,"HSa02","a","b","Happy - Sad","a","f","af2","_happy"
100,6,0,0,1,1,1,9,"MSc13","d","c","Mad - Scared","a","m","am1","_scared"
100,6,0,0,1,1,1,10,"MSc01","c","d","Mad - Scared","a","f","af1","_mad"
100,6,0,0,1,1,1,11,"MSc12","d","c","Mad - Scared","a","f","af4","_scared"
100,6,0,0,1,1,1,12,"MSc16","d","c","Mad - Scared","a","m","am4","_scared"
100,6,0,0,1,1,1,13,"MSc07","c","d","Mad - Scared","a","m","am3","_mad"
100,6,0,0,1,1,1,14,"MSc10","d","c","Mad - Scared","a","f","af2","_scared"
100,6,0,0,1,1,1,15,"MSc06","c","d","Mad - Scared","a","m","am2","_mad"
100,6,0,0,1,1,1,16,"MSc08","c","d","Mad - Scared","a","m","am4","_mad"
100,6,0,1,0,1,1,17,"SS11","d","b","Sad - Scared","a","f","af3","_scared"
100,6,0,1,0,1,1,18,"SS04","b","d","Sad - Scared","a","f","af4","_sad"
100,6,0,1,0,1,1,19,"SS06","b","d","Sad - Scared","a","m","am2","_sad"
100,6,0,1,0,1,1,20,"SS01","b","d","Sad - Scared","a","f","af1","_sad"
100,6,0,1,0,1,1,21,"SS10","d","b","Sad - Scared","a","f","af2","_scared"
100,6,0,1,0,1,1,22,"SS12","d","b","Sad - Scared","a","f","af4","_scared"
100,6,0,1,0,1,1,23,"SS09","d","b","Sad - Scared","a","f","af1","_scared"
100,6,0,1,0,1,1,24,"SS16","d","b","Sad - Scared","a","m","am4","_scared"
100,6,1,0,1,0,1,25,"HM15","c","a","Happy - Mad","a","m","am3","_mad"
100,6,1,0,1,0,1,26,"HM05","a","c","Happy - Mad","a","m","am1","_happy"
100,6,1,0,1,0,1,27,"HM07","a","c","Happy - Mad","a","m","am3","_happy"
100,6,1,0,1,0,1,28,"HM10","c","a","Happy - Mad","a","f","af2","_mad"
100,6,1,0,1,0,1,29,"HM13","c","a","Happy - Mad","a","m","am1","_mad"
